id,name,link
124,גולדמן,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=124
126,רידינג מזרח,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=126
127,צמרות,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=127
129,גן הכובשים 2 - מערב,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=129
131,רמז-ארלוזורוב,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=131
132,כיכר עליה,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=132
133,המשתלה,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=133
134,חוף תל ברוך,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=134
135,קצה השדרה (רוטשילד 1),https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=135
137,כיתן,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=137
138,בן יוסף,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=138
140,סוללים,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=140
